date,usd_jpy,aluminum,copper,nickel,lead,tin,zinc,iron_ore
2024-08-01,146.14999389648438,342.53,1311.25,2381.09,291.52,4602.5,396.66,99.91
2024-09-01,142.7830047607422,349.81,1318.96,2295.49,285.61,4493.62,405.08,92.83
2024-10-01,153.20399475097656,397.65,1460.65,2568.59,311.62,4904.43,475.82,101.39
2024-11-01,149.74600219726562,386.67,1359.05,2354.47,297.62,4440.7,449.87,100.5
2024-12-01,156.9949951171875,398.93,1399.82,2424.77,312.49,4531.66,476.35,102.21
2025-01-01,154.0970001220703,396.55,1385.55,2372.19,296.08,4563.18,434.39,99.58
2025-02-01,150.01199340820312,398.67,1399.7,2293.4,293.51,4775.33,420.05,105.08
2025-03-01,149.61700439453125,397.73,1457.22,2403.7,304.2,5094.14,432.29,100.1
2025-04-01,142.2989959716797,337.48,1305.85,2150.61,270.86,4633.97,373.04,97.24
2025-05-01,144.0399932861328,352.72,1373.13,2210.41,281.99,4606.57,380.9,96.97
2025-06-01,144.51699829101562,365.04,1421.33,2168.2,285.26,4703.17,383.64,92.33
2025-07-01,149.2259979248047,388.94,1458.02,2243.47,297.43,5015.52,412.25,97.26
